ID,Name,ShotPatternID,Group,Weight,StarValue,Type,Penetrate,Category,IsHoming,CountMin,CountMax,SPMin,SPMax,DmgMin,DmgMax,ScaleMin,ScaleMax,WTMin,WTMax,GrowthType,MaxLv,Note
WPN_SolarLay,SolarLay,P32_SolarLay,4,240,5,Laser,1,I,0,1,1,50,75,20,50,1,2,6,4.5,標準,10,Laserの仕組みは別途記述
WPN_BusterLance,BusterLance,P33_BusterLance,4,260,6,Laser,1,I,0,1,1,50,75,24,60,1,2.5,6.5,4.875,標準,10,Laserの仕組みは別途記述
WPN_AetherSlicer,AetherSlicer,P34_AetherSlicer,4,280,7,Laser,1,I,0,1,1,50,75,28,70,1,2.5,7,5.25,標準,10,Laserの仕組みは別途記述
WPN_Ouroboros,Ouroboros,P35_Ouroboros,4,320,8,Laser,1,I,1,1,1,50,75,40,100,1,3,8,6,標準,10,Laserの仕組みは別途記述
WPN_ShockWave,ShockWave,P41_ShockWave,5,180,5,Wave,1,J,0,1,1,30,45,15,37.5,1,1,2,1.5,標準,10,Waveの仕組みは別途記述
WPN_DistortionSurge,DistortionSurge,P42_DistortionSurge,5,220,7,Wave,1,J,0,2,2,35,52.5,22,55,1,1,3,2.25,標準,10,Waveの仕組みは別途記述
WPN_GravitonNova,GravitonNova,P43_GravitonNova,5,300,8,Wave,1,J,0,3,3,40,60,35,87.5,1,1,4,3,標準,10,Waveの仕組みは別途記述
WPN_SweapBlade,SweapBlade,P51_SweapBlade,6,260,4,Circle,1,K,0,1,1,360,540,30,75,1,2,0,0,標準,10,Circleの仕組みは別途記述
WPN_OrbitCutter,OrbitCutter,P52_OrbitCutter,6,280,6,Circle,1,K,0,1,2,360,540,40,100,1,2,0,0,標準,10,Circleの仕組みは別途記述
WPN_ThermalCleaver,ThermalCleaver,P53_ThermalCleaver,6,300,7,Circle,1,K,0,2,2,360,540,45,112.5,1,2,0,0,標準,10,Circleの仕組みは別途記述
WPN_DeathScythe,DeathScythe,P54_DeathScythe,6,350,9,Circle,1,K,0,1,3,540,810,60,150,1,2,0,0,標準,10,Circleの仕組みは別途記述
