ID,Lv,SubLv,Dist,Min,Max,Lot,Cycle,TypeID_1,TypeID_2,TypeID_3,TypeID_4,TypeID_5,TypeID_6,TypeID_7,TypeID_8,TypeID_9,TypeID_10,TypeID_11,TypeID_12,Note
STLv03_07,3,7,100,10,14,One,Slow,DEB003,None,None,None,None,None,None,None,None,None,None,None,
STLv03_08,3,8,100,10,15,Two,Slow,DEB003,None,None,None,None,None,None,None,None,None,None,None,
STLv03_09,3,9,100,10,15,Random,Slow,DEB003,None,None,None,None,None,None,None,None,None,None,None,
STLv03_10,3,10,100,10,15,Random,Slow,DEB003,None,None,None,None,None,None,None,None,None,None,None,
STLv04_01,4,1,100,10,16,One,Slow,DEB004,None,None,None,None,None,None,None,None,None,None,None,
STLv04_02,4,2,100,10,16,Two,Slow,DEB004,None,None,None,None,None,None,None,None,None,None,None,
STLv04_03,4,3,100,10,16,Random,Slow,DEB004,None,None,None,None,None,None,None,None,None,None,None,
STLv04_04,4,4,100,10,16,One,Slow,DEB004,None,None,None,None,None,None,None,None,None,None,None,
STLv04_05,4,5,100,10,17,Two,Slow,DEB004,None,None,None,None,None,None,None,None,None,None,None,
STLv04_06,4,6,100,10,17,Random,Slow,DEB004,None,None,None,None,None,None,None,None,None,None,None,
STLv04_07,4,7,100,10,17,One,Slow,DEB004,None,None,None,None,None,None,None,None,None,None,None,
STLv04_08,4,8,100,10,17,Two,Slow,DEB004,None,None,None,None,None,None,None,None,None,None,None,
STLv04_09,4,9,100,10,18,Random,Slow,DEB004,None,None,None,None,None,None,None,None,None,None,None,
STLv04_10,4,10,100,10,18,Random,Slow,DEB004,None,None,None,None,None,None,None,None,None,None,None,
STLv05_01,5,1,120,12,15,One,Slow,DEB005,None,None,None,None,None,None,None,None,None,None,None,
STLv05_02,5,2,120,12,15,Two,Slow,DEB005,None,None,None,None,None,None,None,None,None,None,None,
STLv05_03,5,3,120,12,16,Random,Slow,DEB005,None,None,None,None,None,None,None,None,None,None,None,
STLv05_04,5,4,120,12,16,One,Slow,DEB005,None,None,None,None,None,None,None,None,None,None,None,
STLv05_05,5,5,120,12,17,Two,Slow,DEB005,None,None,None,None,None,None,None,None,None,None,None,
STLv05_06,5,6,120,12,17,Random,Slow,DEB005,None,None,None,None,None,None,None,None,None,None,None,
STLv05_07,5,7,120,12,18,One,Slow,DEB005,None,None,None,None,None,None,None,None,None,None,None,
STLv05_08,5,8,120,12,18,Two,Slow,DEB005,None,None,None,None,None,None,None,None,None,None,None,
STLv05_09,5,9,120,12,19,Random,Slow,DEB005,None,None,None,None,None,None,None,None,None,None,None,
STLv05_10,5,10,120,12,19,Random,Slow,DEB005,None,None,None,None,None,None,None,None,None,None,None,
STLv06_01,6,1,140,14,16,One,Slow,DEB006,None,None,None,None,None,None,None,None,None,None,None,
STLv06_02,6,2,140,14,16,Two,Slow,DEB006,None,None,None,None,None,None,None,None,None,None,None,
STLv06_03,6,3,140,14,16,Random,Slow,DEB006,None,None,None,None,None,None,None,None,None,None,None,
STLv06_04,6,4,140,14,17,One,Slow,DEB006,None,None,None,None,None,None,None,None,None,None,None,
STLv06_05,6,5,140,14,17,Two,Slow,DEB006,None,None,None,None,None,None,None,None,None,None,None,
STLv06_06,6,6,140,14,17,Random,Slow,DEB006,None,None,None,None,None,None,None,None,None,None,None,
STLv06_07,6,7,140,14,18,One,Slow,DEB006,None,None,None,None,None,None,None,None,None,None,None,
STLv06_08,6,8,140,14,18,Two,Slow,DEB006,None,None,None,None,None,None,None,None,None,None,None,
STLv06_09,6,9,140,14,18,Random,Slow,DEB006,None,None,None,None,None,None,None,None,None,None,None,
STLv06_10,6,10,140,14,19,Random,Slow,DEB006,None,None,None,None,None,None,None,None,None,None,None,
STLv07_01,7,1,140,14,19,One,Slow,DEB007,None,None,None,None,None,None,None,None,None,None,None,
STLv07_02,7,2,140,14,19,Two,Slow,DEB007,None,None,None,None,None,None,None,None,None,None,None,
STLv07_03,7,3,140,14,20,Random,Slow,DEB007,None,None,None,None,None,None,None,None,None,None,None,
STLv07_04,7,4,140,14,20,One,Slow,DEB007,None,None,None,None,None,None,None,None,None,None,None,
STLv07_05,7,5,160,16,20,Two,Slow,DEB007,None,None,None,None,None,None,None,None,None,None,None,
STLv07_06,7,6,160,16,20,Random,Slow,DEB007,None,None,None,None,None,None,None,None,None,None,None,
STLv07_07,7,7,160,16,20,One,Slow,DEB007,None,None,None,None,None,None,None,None,None,None,None,
STLv07_08,7,8,160,16,21,Two,Slow,DEB007,None,None,None,None,None,None,None,None,None,None,None,
STLv07_09,7,9,160,16,21,Random,Slow,DEB007,None,None,None,None,None,None,None,None,None,None,None,
STLv07_10,7,10,160,16,21,Random,Slow,DEB007,None,None,None,None,None,None,None,None,None,None,None,
STLv08_01,8,1,160,16,22,Two,Slow,DEB008,None,None,None,None,None,None,None,None,None,None,None,
STLv08_02,8,2,160,16,22,Random,Slow,DEB008,None,None,None,None,None,None,None,None,None,None,None,
STLv08_03,8,3,160,16,22,Random,Slow,DEB008,None,None,None,None,None,None,None,None,None,None,None,
STLv08_04,8,4,160,16,23,Two,Slow,DEB008,None,None,None,None,None,None,None,None,None,None,None,
STLv08_05,8,5,160,16,23,Random,Slow,DEB008,None,None,None,None,None,None,None,None,None,None,None,
STLv08_06,8,6,160,16,23,Random,Slow,DEB008,None,None,None,None,None,None,None,None,None,None,None,
STLv08_07,8,7,160,16,24,Two,Slow,DEB008,None,None,None,None,None,None,None,None,None,None,None,
STLv08_08,8,8,160,16,24,Random,Slow,DEB008,None,None,None,None,None,None,None,None,None,None,None,
STLv08_09,8,9,160,16,24,Random,Slow,DEB008,None,None,None,None,None,None,None,None,None,None,None,
STLv08_10,8,10,180,18,24,Random,Slow,DEB008,None,None,None,None,None,None,None,None,None,None,None,
STLv09_01,9,1,180,18,24,Two,Slow,DEB009,None,None,None,None,None,None,None,None,None,None,None,
STLv09_02,9,2,180,18,25,Random,Slow,DEB009,None,None,None,None,None,None,None,None,None,None,None,
STLv09_03,9,3,180,18,25,Random,Slow,DEB009,None,None,None,None,None,None,None,None,None,None,None,
STLv09_04,9,4,180,18,26,Two,Slow,DEB009,None,None,None,None,None,None,None,None,None,None,None,
STLv09_05,9,5,180,18,26,Random,Slow,DEB009,None,None,None,None,None,None,None,None,None,None,None,
STLv09_06,9,6,180,18,27,Random,Slow,DEB009,None,None,None,None,None,None,None,None,None,None,None,
STLv09_07,9,7,180,18,27,Two,Slow,DEB009,None,None,None,None,None,None,None,None,None,None,None,
STLv09_08,9,8,180,18,28,Random,Slow,DEB009,None,None,None,None,None,None,None,None,None,None,None,
STLv09_09,9,9,180,18,28,Random,Slow,DEB009,None,None,None,None,None,None,None,None,None,None,None,
STLv09_10,9,10,180,18,28,Random,Slow,DEB009,None,None,None,None,None,None,None,None,None,None,None,
STLv10_01,10,1,200,20,28,Random,Slow,DEB010,None,None,None,None,None,None,None,None,None,None,None,
STLv10_02,10,2,200,20,29,Random,Slow,DEB010,None,None,None,None,None,None,None,None,None,None,None,
STLv10_03,10,3,200,20,30,Random,Slow,DEB010,None,None,None,None,None,None,None,None,None,None,None,
STLv10_04,10,4,200,20,31,Random,Slow,DEB010,None,None,None,None,None,None,None,None,None,None,None,
STLv10_05,10,5,200,20,32,Random,Slow,DEB010,None,None,None,None,None,None,None,None,None,None,None,
STLv10_06,10,6,200,20,33,Random,Slow,DEB010,None,None,None,None,None,None,None,None,None,None,None,
STLv10_07,10,7,200,20,34,Random,Slow,DEB010,None,None,None,None,None,None,None,None,None,None,None,
STLv10_08,10,8,200,20,35,Random,Slow,DEB010,None,None,None,None,None,None,None,None,None,None,None,
STLv10_09,10,9,200,20,36,Random,Slow,DEB010,None,None,None,None,None,None,None,None,None,None,None,
STLv10_10,10,10,200,20,40,Random,Slow,DEB010,None,None,None,None,None,None,None,None,None,None,None,
