ID,Name,Category,ShapeCells,Note,UnlockCost,UnlockItemID_1,UnlockItemQty_1,UnlockItemID_2,UnlockItemQty_2,UnlockItemID_3,UnlockItemQty_3
EQ71_SpeedBrekerM,SpeedBrekerM,Armor,00;10;11;21;,装備で最高速度(SP)に倍率を掛ける,60000,PT_EngineLv03,35,PT_EngineLv02,40,,
EQ72_SpeedBrekerL,SpeedBrekerL,Armor,00;21;11;01;,装備で最高速度(SP)に倍率を掛ける,200000,PT_EngineLv08,40,PT_EngineLv07,25,PT_EngineLv06,30
EQ73_AcceleratorS,AcceleratorS,Armor,00;10;01;11;02;12;,装備で加速度(AC)に倍率を掛ける,15000,PT_EngineLv04,30,,,,
EQ74_AcceleratorM,AcceleratorM,Armor,10;01;11;20;,装備で加速度(AC)に倍率を掛ける,80000,PT_EngineLv07,40,PT_EngineLv06,30,,
EQ75_AcceleratorL,AcceleratorL,Armor,00;11;12;01;13;,装備で加速度(AC)に倍率を掛ける,250000,PT_EngineLv10,40,PT_EngineLv09,25,PT_EngineLv08,35
EQ76_Defender,Defender,Armor,00;10;01;11;21;20;,装備でDFに加算する,20000,PT_ArmorLv03,25,PT_ArmorLv02,30,,
EQ77_Defender-X,Defender-X,Armor,00;10;01;11;02;12;13;03;,装備でDFに加算する,200000,PT_ArmorLv08,30,PT_ArmorLv07,25,PT_ArmorLv06,35
EQ78_Vector-ShiftS,Vector-ShiftS,Armor,00;01;,装備で旋回性能(TN)に倍率を掛ける,800,PT_EngineLv01,20,,,,
EQ79_Vector-ShiftM,Vector-ShiftM,Armor,00;10;01;20;,装備で旋回性能(TN)に倍率を掛ける,10000,PT_EngineLv03,25,PT_EngineLv02,20,,
EQ80_Vector-ShiftL,Vector-ShiftL,Armor,00;10;11;20;21;,装備で旋回性能(TN)に倍率を掛ける,75000,PT_EngineLv05,30,PT_EngineLv04,20,,
EQ81_MassReducer,MassReducer,Utility,00;10;20;,装備でCPに加算する,0,PT_ArmorLv02,20,PT_ArmorLv01,30,,
EQ82_MassReducer-R,MassReducer-R,Utility,00;01;02;,装備でCPに加算する,0,PT_ArmorLv08,25,PT_ArmorLv07,30,PT_ArmorLv06,35
EQ83_PickerRange,PickerRange,Utility,00;10;20;,装備でアイテム回収範囲(CR)に倍率を掛ける,0,PT_CyberLv03,20,PT_CyberLv02,15,PT_CyberLv01,25
EQ84_PickerRange-L,PickerRange-L,Utility,00;10;20;30;,装備でアイテム回収範囲(CR)に倍率を掛ける,0,PT_CyberLv08,40,PT_CyberLv07,30,PT_CyberLv06,40
EQ85_OverPower,OverPower,Utility,00;10;01;,備で武器Dmgに倍率を掛ける,0,PT_ArmorLv02,25,PT_CyberLv02,25,PT_EngineLv02,25
EQ86_FireBooster,FireBooster,Utility,00;10;01;11;02;12;20;21;,備で武器Dmgに倍率を掛ける,0,PT_ArmorLv09,40,PT_CyberLv09,40,PT_EngineLv09,40
EQ87_CoolingSystem,CoolingSystem,Utility,00;10;01;11;20;30;31;21;,装備で搭載した武器にCoolTimeに倍率分引く,0,PT_ArmorLv05,40,PT_CyberLv05,40,PT_EngineLv05,40
EQ88_ThermalPurger,ThermalPurger,Utility,00;10;01;02;03;05;04;06;16;,装備で搭載した武器にCoolTimeに倍率分引く,0,PT_ArmorLv10,60,PT_CyberLv10,60,PT_EngineLv10,60
EQ89_Hazard-Filter,Hazard-Filter,Utility,00;10;01;11;,装備で天候によるデバフに対して効果を倍率分引く,0,PT_LaserPartsLv03,20,PT_CyberLv06,30,PT_CyberLv05,30
EQ90_Hazard-Gate,Hazard-Gate,Utility,00;10;01;11;21;31;30;20;,装備で天候によるデバフに対して効果を倍率分引く,0,PT_ShockwavePartsLv03,20,PT_CyberLv10,30,PT_CyberLv09,30
EQ91_BounsCredit,BounsCredit,Utility,00;,装備でリザルト時に獲得した合計クレジットに倍率を掛ける,0,PT_BeamPartsLv02,15,PT_ArmorLv02,20,PT_CyberLv02,20
EQ92_CreditHeaven,CreditHeaven,Utility,00;10;01;11;20;,装備でリザルト時に獲得した合計クレジットに倍率を掛ける,0,PT_MissilePartsLv03,25,PT_CyberLv07,30,PT_EngineLv07,30
EQ93_LuckyPartsS,LuckyPartsS,Utility,00;10;11;,装備でリザルト時に獲得した各パーツに倍率分を掛ける,0,PT_LaserPartsLv01,20,PT_CyberLv03,30,,
EQ94_LuckyPartsM,LuckyPartsM,Utility,10;01;11;21;20;,装備でリザルト時に獲得した各パーツに倍率分を掛ける,0,PT_RingBladePartsLv01,25,PT_CyberLv06,40,,
EQ95_LuckyPartsL,LuckyPartsL,Utility,00;10;11;21;20;40;30;,装備でリザルト時に獲得した各パーツに倍率分を掛ける,0,PT_BeamPartsLv04,30,PT_CyberLv08,50,,
EQ96_LuckyPartsLL,LuckyPartsLL,Utility,00;10;01;11;20;30;40;41;51;50;,装備でリザルト時に獲得した各パーツに倍率分を掛ける,0,PT_RingBladePartsLv04,35,PT_CyberLv10,60,,
