ID,Name,GroupID,Weight,StarValue,CreditValue,Lv0,Lv1,Lv2,Lv3,Lv4,Lv5,RequiredItemID,ReqQty_Lv0,ReqQty_Lv1,ReqQty_Lv2,ReqQty_Lv3,ReqQty_Lv4,ReqQty_Lv5,Note,FormulaNote
EQ075_AcceleratorL,AcceleratorL,5,110,5,12500,10,12,14,16,18,20,PT_EngineLv08,10,15,20,23,27,30,装備で加速度(AC)に倍率を掛ける,元の数値にLv%分加える
EQ076_Defender,Defender,6,80,6,15000,1,2,3,4,5,6,PT_ArmorLv02,20,30,40,50,60,75,装備でDFに加算する,元の数値にLv分加算する
EQ077_Defender-X,Defender-X,6,150,8,20000,3,5,7,10,12,15,PT_ArmorLv08,20,30,40,50,60,75,装備でDFに加算する,元の数値にLv分加算する
EQ078_Vector-ShiftS,Vector-ShiftS,7,60,2,5000,5,6,7,8,9,10,PT_EngineLv01,5,10,15,20,25,30,装備で旋回性能(TN)に倍率を掛ける,元の数値にLv%分加える
EQ079_Vector-ShiftM,Vector-ShiftM,7,85,4,10000,7.5,9,11,12.5,14,15,PT_EngineLv04,7,12,16,20,22,25,装備で旋回性能(TN)に倍率を掛ける,元の数値にLv%分加える
EQ080_Vector-ShiftL,Vector-ShiftL,7,110,5,12500,10,12,14,16,18,20,PT_EngineLv07,10,15,20,23,27,30,装備で旋回性能(TN)に倍率を掛ける,元の数値にLv%分加える
EQ081_MassReducer,MassReducer,8,30,3,7500,50,60,70,80,90,100,PT_CyberLv04,15,22,26,30,35,40,装備でCPに加算する,元の数値にLv分加算する
EQ082_MassReducer-R,MassReducer-R,8,50,3,7500,100,120,140,160,180,200,PT_CyberLv08,20,25,30,35,40,50,装備でCPに加算する,元の数値にLv分加算する
EQ083_PickerRange,PickerRange,9,40,3,7500,10,20,30,40,50,75,PT_ArmorLv03,15,18,21,24,27,30,装備でアイテム回収範囲(CR)に倍率を掛ける,元の数値にLv%分加える
EQ084_PickerRange-L,PickerRange-L,9,80,5,12500,20,40,60,80,100,120,PT_ArmorLv07,20,22,25,28,32,40,装備でアイテム回収範囲(CR)に倍率を掛ける,元の数値にLv%分加える
EQ085_OverPower,OverPower,10,150,3,7500,10,12,14,16,18,20,PT_CyberLv04,15,20,25,30,35,40,装備で武器Dmgに倍率を掛ける,元の数値にLv分加算する
EQ086_FireBooster,FireBooster,10,180,8,20000,20,24,28,32,36,40,PT_CyberLv09,20,30,40,50,60,70,装備で武器Dmgに倍率を掛ける,元の数値にLv分加算する
EQ087_CoolingSystem,CoolingSystem,11,100,7,17500,10,11,12,13,14,15,PT_CyberLv07,20,24,28,32,36,40,装備で搭載した武器にCoolTimeに倍率分引く,元の数値に(100-Lv%)分、倍率かける
EQ088_ThermalPurger,ThermalPurger,11,150,9,22500,15,18,21,24,27,30,PT_CyberLv10,15,25,30,40,50,60,装備で搭載した武器にCoolTimeに倍率分引く,元の数値に(100-Lv%)分、倍率かける
EQ089_Hazard-Filter,Hazard-Filter,12,160,4,10000,30,35,40,43,47,50,PT_CyberLv05,10,20,30,40,50,60,装備で天候によるデバフに対して効果を倍率分引く,元の数値に(100-Lv%)分、倍率かける
EQ090_Hazard-Gate,Hazard-Gate,12,220,8,20000,50,60,70,80,90,100,PT_CyberLv08,15,25,40,50,60,80,装備で天候によるデバフに対して効果を倍率分引く,元の数値に(100-Lv%)分、倍率かける。Lv5で0となりデバフを完全遮断となる
EQ091_BounsCredit,BounsCredit,13,30,2,5000,10,12,14,16,18,20,PT_ArmorLv02,10,20,30,40,50,60,装備でリザルト時に獲得した合計クレジットに倍率を掛ける,元の数値にLv分加算する
EQ092_CreditHeaven,CreditHeaven,13,60,5,12500,20,25,30,35,40,50,PT_CyberLv06,20,30,40,50,60,75,装備でリザルト時に獲得した合計クレジットに倍率を掛ける,元の数値にLv分加算する
EQ093_LuckyPartsS,LuckyPartsS,14,100,3,7500,10,,,,,,PT_CyberLv02,30,,,,,,装備でリザルト時に獲得した各パーツに倍率分を掛ける,元の数値にLv分加算する(小数点切り捨て)。レベルアップの概念は無し
EQ094_LuckyPartsM,LuckyPartsM,14,120,5,12500,30,,,,,,PT_CyberLv05,30,,,,,,装備でリザルト時に獲得した各パーツに倍率分を掛ける,元の数値にLv分加算する(小数点切り捨て)。レベルアップの概念は無し
EQ095_LuckyPartsL,LuckyPartsL,14,140,7,17500,50,,,,,,PT_CyberLv07,30,,,,,,装備でリザルト時に獲得した各パーツに倍率分を掛ける,元の数値にLv分加算する(小数点切り捨て)。レベルアップの概念は無し
EQ096_LuckyPartsLL,LuckyPartsLL,14,160,10,25000,100,,,,,,PT_CyberLv10,30,,,,,,装備でリザルト時に獲得した各パーツに倍率分を掛ける,元の数値にLv分加算する(小数点切り捨て)。レベルアップの概念は無し
EQ101_HyperForce,HyperForce,10,100,8,20000,25,,,,,,PT_HyperForce,1,,,,,,装備で武器Dmgに倍率を掛ける,元の数値にLv分加算する。レベルアップの概念は無し
EQ102_AntiGField,AntiGField,6,100,8,20000,10,,,,,,PT_AntiGField,1,,,,,,装備でDFに加算する,元の数値にLv分加算する。レベルアップの概念は無し
EQ103_SurfaceAmp,SurfaceAmp,3,100,8,20000,20,,,,,,PT_SurfaceAmp,1,,,,,,装備で最大HPに倍率を掛ける,元の数値にLv%分加える。レベルアップの概念は無し
