ID,Name,PrefabName,Type,EffectType,EffectValue,Duration,Min,Max,Weight,SellPrice,Note
IT_Repair01,Repair01,IT_Repair01,Heal,Heal,20,0,1,1,1,0,HP回復
IT_Repair02,Repair02,IT_Repair02,Heal,Heal,30,0,1,1,1,0,HP回復
IT_Repair03,Repair03,IT_Repair03,Heal,Heal,40,0,1,1,1,0,HP回復
IT_Repair04,Repair04,IT_Repair04,Heal,Heal,50,0,1,1,1,0,HP回復
IT_Repair05,Repair05,IT_Repair05,Heal,Heal,60,0,1,1,1,0,HP回復
Mat_EngineCoreLv01,EngineCoreLv01,Mat_EngineCoreLv01,Material,UnlockTrigger,1,0,1,1,1,20,新機体解放用コアパーツLv01
Mat_EngineCoreLv02,EngineCoreLv02,Mat_EngineCoreLv02,Material,UnlockTrigger,1,0,1,1,1,40,新機体解放用コアパーツLv02
Mat_EngineCoreLv03,EngineCoreLv03,Mat_EngineCoreLv03,Material,UnlockTrigger,1,0,1,1,1,60,新機体解放用コアパーツLv03
Mat_EngineCoreLv04,EngineCoreLv04,Mat_EngineCoreLv04,Material,UnlockTrigger,1,0,1,1,1,80,新機体解放用コアパーツLv04
Mat_EngineCoreLv05,EngineCoreLv05,Mat_EngineCoreLv05,Material,UnlockTrigger,1,0,1,1,1,100,新機体解放用コアパーツLv05
PT_ArmorLv01,Armor reinforcement_Lv01,PT_ArmorLv01,Material,Material,1,0,1,1,1,10,装甲強化パーツLv01
PT_ArmorLv02,Armor reinforcement_Lv02,PT_ArmorLv02,Material,Material,1,0,1,1,1,20,装甲強化パーツLv02
PT_ArmorLv03,Armor reinforcement_Lv03,PT_ArmorLv03,Material,Material,1,0,1,1,1,30,装甲強化パーツLv03
PT_ArmorLv04,Armor reinforcement_Lv04,PT_ArmorLv04,Material,Material,1,0,1,1,1,40,装甲強化パーツLv04
PT_ArmorLv05,Armor reinforcement_Lv05,PT_ArmorLv05,Material,Material,1,0,1,1,1,50,装甲強化パーツLv05
PT_ArmorLv06,Armor reinforcement_Lv06,PT_ArmorLv06,Material,Material,1,0,1,1,1,60,装甲強化パーツLv06
PT_ArmorLv07,Armor reinforcement_Lv07,PT_ArmorLv07,Material,Material,1,0,1,1,1,70,装甲強化パーツLv07
PT_ArmorLv08,Armor reinforcement_Lv08,PT_ArmorLv08,Material,Material,1,0,1,1,1,80,装甲強化パーツLv08
PT_ArmorLv09,Armor reinforcement_Lv09,PT_ArmorLv09,Material,Material,1,0,1,1,1,90,装甲強化パーツLv09
PT_ArmorLv10,Armor reinforcement_Lv10,PT_ArmorLv10,Material,Material,1,0,1,1,1,100,装甲強化パーツLv10
PT_CyberLv01,CyberneticEnhancement_Lv01,PT_CyberLv01,Material,Material,1,0,1,1,1,10,電脳強化パーツLv01
PT_CyberLv02,CyberneticEnhancement_Lv02,PT_CyberLv02,Material,Material,1,0,1,1,1,20,電脳強化パーツLv02
PT_CyberLv03,CyberneticEnhancement_Lv03,PT_CyberLv03,Material,Material,1,0,1,1,1,30,電脳強化パーツLv03
PT_CyberLv04,CyberneticEnhancement_Lv04,PT_CyberLv04,Material,Material,1,0,1,1,1,40,電脳強化パーツLv04
PT_CyberLv05,CyberneticEnhancement_Lv05,PT_CyberLv05,Material,Material,1,0,1,1,1,50,電脳強化パーツLv05
PT_CyberLv06,CyberneticEnhancement_Lv06,PT_CyberLv06,Material,Material,1,0,1,1,1,60,電脳強化パーツLv06
PT_CyberLv07,CyberneticEnhancement_Lv07,PT_CyberLv07,Material,Material,1,0,1,1,1,70,電脳強化パーツLv07
PT_CyberLv08,CyberneticEnhancement_Lv08,PT_CyberLv08,Material,Material,1,0,1,1,1,80,電脳強化パーツLv08
PT_CyberLv09,CyberneticEnhancement_Lv09,PT_CyberLv09,Material,Material,1,0,1,1,1,90,電脳強化パーツLv09
PT_CyberLv10,CyberneticEnhancement_Lv10,PT_CyberLv10,Material,Material,1,0,1,1,1,100,電脳強化パーツLv10
PT_EngineLv01,High-performanceEngine_Lv01,PT_EngineLv01,Material,Material,1,0,1,1,1,10,高性能エンジンパーツLv01
PT_EngineLv02,High-performanceEngine_Lv02,PT_EngineLv02,Material,Material,1,0,1,1,1,20,高性能エンジンパーツLv02
PT_EngineLv03,High-performanceEngine_Lv03,PT_EngineLv03,Material,Material,1,0,1,1,1,30,高性能エンジンパーツLv03
PT_EngineLv04,High-performanceEngine_Lv04,PT_EngineLv04,Material,Material,1,0,1,1,1,40,高性能エンジンパーツLv04
PT_EngineLv05,High-performanceEngine_Lv05,PT_EngineLv05,Material,Material,1,0,1,1,1,50,高性能エンジンパーツLv05
PT_EngineLv06,High-performanceEngine_Lv06,PT_EngineLv06,Material,Material,1,0,1,1,1,60,高性能エンジンパーツLv06
PT_EngineLv07,High-performanceEngine_Lv07,PT_EngineLv07,Material,Material,1,0,1,1,1,70,高性能エンジンパーツLv07
PT_EngineLv08,High-performanceEngine_Lv08,PT_EngineLv08,Material,Material,1,0,1,1,1,80,高性能エンジンパーツLv08
PT_EngineLv09,High-performanceEngine_Lv09,PT_EngineLv09,Material,Material,1,0,1,1,1,90,高性能エンジンパーツLv09
PT_EngineLv10,High-performanceEngine_Lv10,PT_EngineLv10,Material,Material,1,0,1,1,1,100,高性能エンジンパーツLv10
PT_BeamPartsLv01,BeamPartsLv01,PT_BeamPartsLv01,Material,Material,1,0,1,1,1,10,ビーム兵器開発パーツLv01
PT_BeamPartsLv02,BeamPartsLv02,PT_BeamPartsLv02,Material,Material,1,0,1,1,1,20,ビーム兵器開発パーツLv02
PT_BeamPartsLv03,BeamPartsLv03,PT_BeamPartsLv03,Material,Material,1,0,1,1,1,30,ビーム兵器開発パーツLv03
PT_BeamPartsLv04,BeamPartsLv04,PT_BeamPartsLv04,Material,Material,1,0,1,1,1,40,ビーム兵器開発パーツLv04
PT_BeamPartsLv05,BeamPartsLv05,PT_BeamPartsLv05,Material,Material,1,0,1,1,1,50,ビーム兵器開発パーツLv05
PT_MissilePartsLv01,MissilePartsLv01,PT_MissilePartsLv01,Material,Material,1,0,1,1,1,10,ミサイル開発バーツLv01
PT_MissilePartsLv02,MissilePartsLv02,PT_MissilePartsLv02,Material,Material,1,0,1,1,1,20,ミサイル開発バーツLv02
PT_MissilePartsLv03,MissilePartsLv03,PT_MissilePartsLv03,Material,Material,1,0,1,1,1,30,ミサイル開発バーツLv03
PT_MissilePartsLv04,MissilePartsLv04,PT_MissilePartsLv04,Material,Material,1,0,1,1,1,40,ミサイル開発バーツLv04
PT_MissilePartsLv05,MissilePartsLv05,PT_MissilePartsLv05,Material,Material,1,0,1,1,1,50,ミサイル開発バーツLv05
PT_LaserPartsLv01,LaserPartsLv01,PT_LaserPartsLv01,Material,Material,1,0,1,1,1,10,レーザー兵器開発パーツLv01
PT_LaserPartsLv02,LaserPartsLv02,PT_LaserPartsLv02,Material,Material,1,0,1,1,1,20,レーザー兵器開発パーツLv02
PT_LaserPartsLv03,LaserPartsLv03,PT_LaserPartsLv03,Material,Material,1,0,1,1,1,30,レーザー兵器開発パーツLv03
PT_LaserPartsLv04,LaserPartsLv04,PT_LaserPartsLv04,Material,Material,1,0,1,1,1,40,レーザー兵器開発パーツLv04
PT_LaserPartsLv05,LaserPartsLv05,PT_LaserPartsLv05,Material,Material,1,0,1,1,1,50,レーザー兵器開発パーツLv05
PT_ShockwavePartsLv01,ShockwavePartsLv01,PT_ShockwavePartsLv01,Material,Material,1,0,1,1,1,10,衝撃波発生装置Lv01
PT_ShockwavePartsLv02,ShockwavePartsLv02,PT_ShockwavePartsLv02,Material,Material,1,0,1,1,1,20,衝撃波発生装置Lv02
PT_ShockwavePartsLv03,ShockwavePartsLv03,PT_ShockwavePartsLv03,Material,Material,1,0,1,1,1,30,衝撃波発生装置Lv03
PT_RingBladePartsLv01,RingBladePartsLv01,PT_RingBladePartsLv01,Material,Material,1,0,1,1,1,10,操剣発生装置パーツLv01
PT_RingBladePartsLv02,RingBladePartsLv02,PT_RingBladePartsLv02,Material,Material,1,0,1,1,1,20,操剣発生装置パーツLv02
PT_RingBladePartsLv03,RingBladePartsLv03,PT_RingBladePartsLv03,Material,Material,1,0,1,1,1,30,操剣発生装置パーツLv03
PT_RingBladePartsLv04,RingBladePartsLv04,PT_RingBladePartsLv04,Material,Material,1,0,1,1,1,40,操剣発生装置パーツLv04
