Lv,ModCountMin,TableCount,SpawnTableID_1,SpawnTableID_2,SpawnTableID_3,SpawnTableID_4,SpawnTableID_5,SpawnTableID_6,SpawnTableID_7,SpawnTableID_8,Note
5,110,12,STLv05_01,STLv05_02,STLv05_03,STLv04_07,STLv04_08,STLv04_09,STLv04_10,STLv03_10,
5,115,12,STLv05_01,STLv05_02,STLv05_03,STLv05_04,STLv04_07,STLv04_08,STLv04_09,STLv04_10,
5,120,12,STLv05_01,STLv05_02,STLv05_03,STLv05_04,STLv05_05,STLv04_08,STLv04_09,STLv04_10,
5,125,12,STLv05_02,STLv05_03,STLv05_04,STLv05_05,STLv05_06,STLv04_05,STLv04_06,None,
5,130,12,STLv05_03,STLv05_04,STLv05_05,STLv05_06,STLv05_07,STLv04_07,STLv04_08,None,
5,135,13,STLv05_04,STLv05_05,STLv05_06,STLv05_07,STLv05_08,STLv04_09,STLv04_10,None,
5,140,13,STLv05_04,STLv05_05,STLv05_06,STLv05_07,STLv05_08,STLv05_09,None,None,
5,145,13,STLv05_05,STLv05_06,STLv05_07,STLv05_08,STLv05_09,STLv05_10,None,None,
6,150,13,STLv06_01,STLv05_07,STLv05_08,STLv05_09,STLv05_10,STLv03_10,None,None,
6,156,13,STLv06_01,STLv06_02,STLv05_07,STLv05_08,STLv05_09,STLv05_10,STLv03_10,STLv04_10,
6,162,13,STLv06_01,STLv06_02,STLv06_03,STLv05_07,STLv05_08,STLv05_09,STLv05_10,STLv04_10,
6,168,13,STLv06_01,STLv06_02,STLv06_03,STLv06_04,STLv05_07,STLv05_08,STLv05_09,STLv05_10,
6,174,13,STLv06_01,STLv06_02,STLv06_03,STLv06_04,STLv06_05,STLv05_08,STLv05_09,STLv05_10,
6,180,14,STLv06_02,STLv06_03,STLv06_04,STLv06_05,STLv06_06,STLv03_10,STLv04_10,STLv05_10,
6,186,14,STLv06_03,STLv06_04,STLv06_05,STLv06_06,STLv06_07,STLv05_05,STLv05_06,None,
6,192,14,STLv06_04,STLv06_05,STLv06_06,STLv06_07,STLv06_08,STLv05_07,STLv05_08,None,
6,198,14,STLv06_05,STLv06_06,STLv06_07,STLv06_08,STLv06_09,STLv05_09,STLv05_10,None,
6,204,14,STLv06_06,STLv06_07,STLv06_08,STLv06_09,STLv06_10,STLv03_10,STLv04_10,STLv05_10,
7,210,14,STLv07_01,STLv06_07,STLv06_08,STLv06_09,STLv06_10,STLv01_10,STLv02_10,STLv03_10,
7,217,14,STLv07_01,STLv07_02,STLv06_07,STLv06_08,STLv06_09,STLv06_10,None,None,
7,224,14,STLv07_01,STLv07_02,STLv07_03,STLv06_07,STLv06_08,STLv06_09,STLv06_10,None,
7,231,14,STLv07_01,STLv07_02,STLv07_03,STLv07_04,STLv06_07,STLv06_08,STLv06_09,STLv06_10,
7,238,14,STLv07_01,STLv07_02,STLv07_03,STLv07_04,STLv07_05,STLv06_08,STLv06_09,STLv06_10,
7,245,14,STLv07_02,STLv07_03,STLv07_04,STLv07_05,STLv07_06,STLv04_08,STLv05_08,STLv06_08,
7,252,15,STLv07_03,STLv07_04,STLv07_05,STLv07_06,STLv07_07,STLv04_09,STLv05_09,STLv06_09,
7,259,15,STLv07_04,STLv07_05,STLv07_06,STLv07_07,STLv07_08,STLv04_10,STLv05_10,STLv06_10,
7,266,15,STLv07_04,STLv07_05,STLv07_06,STLv07_07,STLv07_08,STLv07_09,None,None,
7,273,15,STLv07_04,STLv07_05,STLv07_06,STLv07_07,STLv07_08,STLv07_09,STLv07_10,None,
8,280,15,STLv08_01,STLv07_07,STLv07_08,STLv07_09,STLv07_10,None,None,None,
8,288,15,STLv08_01,STLv08_02,STLv07_07,STLv07_08,STLv07_09,STLv07_10,None,None,
8,296,15,STLv08_01,STLv08_02,STLv08_03,STLv07_07,STLv07_08,STLv07_09,STLv07_10,None,
8,304,15,STLv08_01,STLv08_02,STLv08_03,STLv08_04,STLv07_07,STLv07_08,STLv07_09,STLv07_10,
8,312,15,STLv08_01,STLv08_02,STLv08_03,STLv08_04,STLv08_05,STLv05_06,STLv06_07,STLv07_08,
8,320,15,STLv08_02,STLv08_03,STLv08_04,STLv08_05,STLv08_06,STLv05_07,STLv06_08,STLv07_09,
8,328,16,STLv08_03,STLv08_04,STLv08_05,STLv08_06,STLv08_07,STLv05_08,STLv06_09,STLv07_10,
8,336,16,STLv08_04,STLv08_05,STLv08_06,STLv08_07,STLv08_08,STLv05_10,STLv06_10,STLv07_10,
8,344,16,STLv08_04,STLv08_05,STLv08_06,STLv08_07,STLv08_08,STLv08_09,STLv06_10,None,
8,352,16,STLv08_05,STLv08_06,STLv08_07,STLv08_08,STLv08_09,STLv08_10,STLv07_10,None,
9,360,16,STLv09_01,STLv08_07,STLv08_08,STLv08_09,STLv08_10,None,None,None,
9,369,16,STLv09_01,STLv09_02,STLv08_07,STLv08_08,STLv08_09,STLv08_10,None,None,
9,378,16,STLv09_01,STLv09_02,STLv09_03,STLv08_07,STLv08_08,STLv08_09,STLv08_10,None,
9,387,17,STLv09_01,STLv09_02,STLv09_03,STLv09_04,STLv08_07,STLv08_08,STLv08_09,STLv08_10,
9,396,17,STLv09_01,STLv09_02,STLv09_03,STLv09_04,STLv09_05,STLv06_02,STLv07_02,STLv08_02,
9,405,17,STLv09_02,STLv09_03,STLv09_04,STLv09_05,STLv09_06,STLv06_04,STLv07_05,STLv08_06,
9,414,17,STLv09_03,STLv09_04,STLv09_05,STLv09_06,STLv09_07,STLv06_08,STLv07_09,STLv08_03,
9,423,17,STLv09_04,STLv09_05,STLv09_06,STLv09_07,STLv09_08,STLv06_09,STLv07_10,STLv08_09,
9,432,17,STLv09_04,STLv09_05,STLv09_06,STLv09_07,STLv09_08,STLv09_09,STLv07_06,STLv08_07,
9,441,17,STLv09_05,STLv09_06,STLv09_07,STLv09_08,STLv09_09,STLv09_10,STLv07_10,STLv08_10,
10,450,17,STLv10_01,STLv10_02,STLv10_03,STLv09_07,STLv09_08,STLv09_09,STLv09_10,None,
10,460,17,STLv10_01,STLv10_02,STLv10_03,STLv10_04,STLv09_07,STLv09_08,STLv09_09,STLv09_10,
10,470,18,STLv10_01,STLv10_02,STLv10_03,STLv10_04,STLv10_05,None,None,None,
10,480,18,STLv10_01,STLv10_02,STLv10_03,STLv10_04,STLv10_05,STLv10_06,None,None,
10,490,18,STLv10_01,STLv10_02,STLv10_03,STLv10_04,STLv10_05,STLv10_06,STLv10_07,None,
10,500,18,STLv10_01,STLv10_02,STLv10_03,STLv10_04,STLv10_05,STLv10_06,STLv10_07,STLv10_08,
10,520,18,STLv10_02,STLv10_03,STLv10_04,STLv10_05,STLv10_06,STLv10_07,STLv10_08,STLv08_10,
10,540,18,STLv10_04,STLv10_05,STLv10_06,STLv10_07,STLv10_08,STLv10_09,STLv08_10,STLv09_10,
10,560,18,STLv10_02,STLv10_03,STLv10_04,STLv10_05,STLv10_06,STLv10_07,STLv10_08,STLv10_09,
10,580,18,STLv10_03,STLv10_04,STLv10_05,STLv10_06,STLv10_07,STLv10_08,STLv10_09,STLv10_10,
