ID,Name,PrefabName,HP,Defense,ContactDamage,Score,BehaviorID,SpeedMult,Scale,ShotPatternID,DropTableID,Note
ENE067,Zako067,ENE008,400,15,10,42,Enemy007,1,15,Empty,DT_ENE067,MissionLv07
ENE068,Zako068,ENE007,400,15,10,45,Enemy008,1,18,Empty,DT_ENE068,MissionLv07
ENE069,Zako069,ENE003,420,16,10,48,Enemy009,1,13,Empty,DT_ENE069,MissionLv07
ENE070,Zako070,ENE010,500,17,15,48,Enemy010,1,13,Empty,DT_ENE070,MissionLv07
ENE071,Zako071,ENE018,460,18,15,60,Enemy001,1,12,Empty,DT_ENE071,MissionLv08
ENE072,Zako072,ENE019,400,20,15,63,Enemy002,1,18,Empty,DT_ENE072,MissionLv08
ENE073,Zako073,ENE012,460,15,15,66,Enemy003,1,12,Empty,DT_ENE073,MissionLv08
ENE074,Zako074,ENE014,520,16,15,70,Enemy004,1,10,Empty,DT_ENE074,MissionLv08
ENE075,Zako075,ENE011,470,18,15,75,Enemy005,1,18,Empty,DT_ENE075,MissionLv08
ENE076,Zako076,ENE015,220,30,15,80,Enemy006,1,18,Empty,DT_ENE076,MissionLv08
ENE077,Zako077,ENE020,340,25,15,83,Enemy007,1,15,Empty,DT_ENE077,MissionLv08
ENE078,Zako078,ENE016,450,18,15,86,Enemy008,1,18,Empty,DT_ENE078,MissionLv08
ENE079,Zako079,ENE017,550,15,15,90,Enemy009,1,13,Empty,DT_ENE079,MissionLv08
ENE080,Zako080,ENE013,600,20,15,100,Enemy009,1,13,Empty,DT_ENE080,MissionLv08
ENE081,Zako081,ENE004,120,30,10,30,Enemy001,1,12,Empty,DT_ENE081,MissionLv09
ENE082,Zako082,ENE009,400,20,10,33,Enemy002,1,18,Empty,DT_ENE082,MissionLv09
ENE083,Zako083,ENE006,350,22,10,35,Enemy003,1,12,Empty,DT_ENE083,MissionLv09
ENE084,Zako084,ENE002,500,15,10,37,Enemy004,1,10,Empty,DT_ENE084,MissionLv09
ENE085,Zako085,ENE001,400,18,10,38,Enemy005,1,18,Empty,DT_ENE085,MissionLv09
ENE086,Zako086,ENE005,420,24,10,40,Enemy006,1,18,Empty,DT_ENE086,MissionLv09
ENE087,Zako087,ENE008,480,20,10,42,Enemy007,1,15,Empty,DT_ENE087,MissionLv09
ENE088,Zako088,ENE007,300,26,10,45,Enemy008,1,18,Empty,DT_ENE088,MissionLv09
ENE089,Zako089,ENE003,440,20,10,48,Enemy009,1,13,Empty,DT_ENE089,MissionLv09
ENE090,Zako090,ENE010,500,21,15,48,Enemy010,1,13,Empty,DT_ENE090,MissionLv09
ENE091,Zako091,ENE018,900,25,15,60,Enemy001,1,12,Empty,DT_ENE091,MissionLv10
ENE092,Zako092,ENE019,600,18,15,63,Enemy002,1,18,Empty,DT_ENE092,MissionLv10
ENE093,Zako093,ENE012,1000,5,15,66,Enemy003,1,12,Empty,DT_ENE093,MissionLv10
ENE094,Zako094,ENE014,650,16,15,70,Enemy004,1,10,Empty,DT_ENE094,MissionLv10
ENE095,Zako095,ENE011,800,12,15,75,Enemy005,1,18,Empty,DT_ENE095,MissionLv10
ENE096,Zako096,ENE015,900,18,15,80,Enemy006,1,18,Empty,DT_ENE096,MissionLv10
ENE097,Zako097,ENE020,1200,8,15,83,Enemy007,1,15,Empty,DT_ENE097,MissionLv10
ENE098,Zako098,ENE016,760,22,15,86,Enemy008,1,18,Empty,DT_ENE098,MissionLv10
ENE099,Zako099,ENE017,880,26,15,90,Enemy009,1,13,Empty,DT_ENE099,MissionLv10
ENE100,Zako100,ENE013,1500,30,15,100,Enemy009,1,13,Empty,DT_ENE100,MissionLv10
